"gs","D","A","Ca","ID","gBBOpti"
0.238233645,1.801790535,11.25955406,400.6454468,"4-7",0.337557129965531
0.238158122,1.800968439,11.35056713,400.8012085,"4-7",0.338594163019328
0.237540421,1.801448652,11.29346937,400.8410339,"4-7",0.337898987440854
0.237354484,1.801463401,11.20502426,400.7623596,"4-7",0.33688628212278
0.23701172,1.802955922,11.01776424,400.5767212,"4-7",0.334712384534586
0.106845534,2.000226628,19.83987791,1599.83252,"4-7",0.261721398409937
0.106621782,1.999665833,19.85001003,1599.894287,"4-7",0.261753142347757
0.106314756,1.9997623,19.8419196,1599.851929,"4-7",0.261730759473393
0.106146004,1.999216649,19.76373882,1599.809814,"4-7",0.261515001113321
0.106126084,1.996894186,19.74836915,1599.798828,"4-7",0.261492850211707
0.132078381,1.900835236,19.99086602,399.678833,"4-4",0.436556770855324
0.117163826,1.891921105,11.9203941,399.4425659,"4-4",0.343504966401844
0.117042889,1.892823073,12.0592251,399.5532837,"4-4",0.345053627340785
0.11694564,1.893203558,12.21711703,399.7335815,"4-4",0.346809806800153
0.116928505,1.893664379,12.3200611,399.8707886,"4-4",0.347941586627884
0.058839549,1.971551386,27.57833654,1600.071533,"4-4",0.284070548171643
0.058820516,1.9704952,27.51895965,1600.103638,"4-4",0.283913133032848
0.058636421,1.970077611,27.38209957,1599.967896,"4-4",0.283534363897921
0.058642293,1.969405823,27.21851638,1599.78125,"4-4",0.283084884573548
0.058773779,1.969511403,27.0951045,1599.602173,"4-4",0.282739678959901
0.505589793,1.341715682,22.67423435,399.9128113,"4-8",0.500048213687629
0.505458146,1.341922492,22.66663723,399.9261475,"4-8",0.499923930335359
0.505727432,1.341627972,22.66995968,399.9337463,"4-8",0.499983895282831
0.504781071,1.342554162,22.61162761,399.8583679,"4-8",0.499210944066155
0.504465347,1.342879114,22.5791416,399.7842712,"4-8",0.498818544839772
0.431432636,1.369783767,40.61866705,1599.806152,"4-8",0.336369515570878
0.431640249,1.36939468,40.59646892,1599.942139,"4-8",0.336299609709602
0.431873819,1.36875776,40.51457798,1599.895508,"4-8",0.336060220895712
0.431536726,1.369730773,40.28704306,1599.78125,"4-8",0.335303473965409
0.431532683,1.370056104,40.2622186,1599.801514,"4-8",0.335211103246531
0.487890088,1.224457308,15.91030026,401.4619141,"7-1",0.418006269784967
0.48829412,1.223348045,15.82542186,401.333374,"7-1",0.417006782337461
0.488829766,1.222257643,15.65257319,401.0248413,"7-1",0.414921529289322
0.488947338,1.222013817,15.55882623,400.8048706,"7-1",0.413795207100414
0.489084303,1.221884109,15.47945168,400.6029358,"7-1",0.412844012190975
0.428724959,1.265553459,21.3492322,1600.755981,"7-1",0.27608358918265
0.427338056,1.266315622,21.46438341,1600.928345,"7-1",0.27644257162981
0.425479913,1.267774446,21.45253326,1600.985352,"7-1",0.276372224262729
0.423818925,1.269427657,21.3103383,1600.916626,"7-1",0.275872307737207
0.42188796,1.271184657,21.24354811,1600.829712,"7-1",0.275621118298121
