"ID","plot","pot","campaign","type","area","mass","volume","Date","sla","massarea"
"1-8",1,8,2,"Amax",17.245,0.15,"5",2013-03-22,0.0114966666666667,86.9817338358944
"1-8",1,8,3,"Amax",11.615,0.13,"5",2013-04-08,0.00893461538461538,111.924235901851
"1-8",1,8,4,"Amax",13.42,0.12,"5",2013-04-17,0.0111833333333333,89.4187779433681
"1-8",1,8,5,"Amax",17.24,0.17,"5",2013-05-01,0.0101411764705882,98.6078886310905
"1-8",1,8,6,"Amax",6.66,0.1,"5",2013-05-16,0.00666,150.15015015015
"2-1",2,1,1,"Amax",36.1,0.25,"20",2013-03-07,0.01444,69.2520775623269
"2-1",2,1,2,"Amax",35.91,0.29,"20",2013-03-22,0.0123827586206897,80.7574491785018
"2-1",2,1,3,"Amax",29.68,0.27,"20",2013-04-08,0.0109925925925926,90.9703504043127
"2-1",2,1,4,"Amax",29.82,0.31,"20",2013-04-17,0.00961935483870968,103.957075788062
"2-1",2,1,5,"Amax",17.97,0.16,"20",2013-05-01,0.01123125,89.0372843628269
"2-1",2,1,6,"Amax",37.08,0.39,"20",2013-05-16,0.00950769230769231,105.177993527508
"2-2",2,2,1,"Amax",21.8,0.16,"15",2013-03-07,0.013625,73.394495412844
"2-2",2,2,2,"Amax",23.73,0.22,"15",2013-03-22,0.0107863636363636,92.7096502317741
"2-2",2,2,3,"Amax",19.615,0.21,"15",2013-04-08,0.00934047619047619,107.060922763191
"2-2",2,2,4,"Amax",20.03,0.24,"15",2013-04-17,0.00834583333333333,119.820269595607
"2-2",2,2,5,"Amax",24.92,0.32,"15",2013-05-01,0.0077875,128.410914927769
"2-2",2,2,6,"Amax",19.98,0.29,"15",2013-05-16,0.00688965517241379,145.145145145145
"2-3",2,3,1,"Amax",52,0.29,"1000",2013-03-07,0.0179310344827586,55.7692307692308
"2-3",2,3,2,"Amax",77.71,0.52,"1000",2013-03-22,0.0149442307692308,66.9154548964097
"2-3",2,3,3,"Amax",50.345,0.34,"1000",2013-04-08,0.0148073529411765,67.5340152944682
"2-3",2,3,4,"Amax",45.42,0.33,"1000",2013-04-17,0.0137636363636364,72.6552179656539
"2-3",2,3,5,"Amax",46.25,0.42,"1000",2013-05-01,0.0110119047619048,90.8108108108108
"2-3",2,3,6,"Amax",41.62,0.37,"1000",2013-05-16,0.0112486486486486,88.8995675156175
"2-4",2,4,1,"Amax",40.2,0.25,"25",2013-03-07,0.01608,62.1890547263682
"2-4",2,4,2,"Amax",48.13,0.39,"25",2013-03-22,0.0123410256410256,81.0305422813214
"2-4",2,4,3,"Amax",24.44,0.24,"25",2013-04-08,0.0101833333333333,98.1996726677578
"2-4",2,4,4,"Amax",23.08,0.25,"25",2013-04-17,0.009232,108.318890814558
"2-4",2,4,5,"Amax",24.97,0.26,"25",2013-05-01,0.00960384615384615,104.124949939928
"2-4",2,4,6,"Amax",46.47,0.6,"25",2013-05-16,0.007745,129.11555842479
"2-6",2,6,1,"Amax",30.1,0.32,"5",2013-03-07,0.00940625,106.312292358804
"2-6",2,6,2,"Amax",37.27,0.4,"5",2013-03-22,0.0093175,107.324926214113
"2-6",2,6,3,"Amax",26.48,0.305,"5",2013-04-08,0.00868196721311475,115.181268882175
"2-6",2,6,4,"Amax",17,0.19,"5",2013-04-17,0.00894736842105263,111.764705882353
"2-6",2,6,6,"Amax",24.26,0.32,"5",2013-05-16,0.00758125,131.904369332234
"2-7",2,7,1,"Amax",20.9,0.28,"35",2013-03-07,0.00746428571428571,133.971291866029
"2-7",2,7,2,"Amax",18.87,0.1,"35",2013-03-22,0.01887,52.9941706412295
"2-7",2,7,3,"Amax",42.56,0.29,"35",2013-04-08,0.0146758620689655,68.1390977443609
"2-7",2,7,4,"Amax",35.94,0.31,"35",2013-04-17,0.0115935483870968,86.2548692264886
"2-7",2,7,5,"Amax",27.31,0.26,"35",2013-05-01,0.0105038461538462,95.2032222629074
"2-7",2,7,6,"Amax",33.43,0.36,"35",2013-05-16,0.00928611111111111,107.687705653605
"2-8",2,8,1,"Amax",24.7,0.24,"10",2013-03-07,0.0102916666666667,97.165991902834
"2-8",2,8,2,"Amax",15.53,0.15,"10",2013-03-22,0.0103533333333333,96.5872504829363
"2-8",2,8,3,"Amax",18.61,0.19,"10",2013-04-08,0.00979473684210526,102.095647501343
"2-8",2,8,4,"Amax",23.42,0.31,"10",2013-04-17,0.00755483870967742,132.365499573014
"2-8",2,8,5,"Amax",11.29,0.11,"10",2013-05-01,0.0102636363636364,97.4313551815766
"2-8",2,8,6,"Amax",19.82,0.29,"10",2013-05-16,0.00683448275862069,146.316851664985
"3-1",3,1,1,"Amax",10.5,0.13,"5",2013-03-07,0.00807692307692308,123.809523809524
"3-1",3,1,2,"Amax",9.68,0.08,"5",2013-03-22,0.0121,82.6446280991736
"3-1",3,1,3,"Amax",9.995,0.09,"5",2013-04-08,0.0111055555555556,90.0450225112556
"3-1",3,1,4,"Amax",12.35,0.13,"5",2013-04-17,0.0095,105.263157894737
"3-1",3,1,5,"Amax",8.63,0.08,"5",2013-05-01,0.0107875,92.6998841251448
"3-1",3,1,6,"Amax",14.03,0.16,"5",2013-05-16,0.00876875,114.041339985745
"3-2",3,2,1,"Amax",32.3,0.18,"1000",2013-03-07,0.0179444444444444,55.7275541795666
"3-2",3,2,2,"Amax",38.17,0.23,"1000",2013-03-22,0.016595652173913,60.2567461357087
"3-2",3,2,3,"Amax",36.79,0.25,"1000",2013-04-08,0.014716,67.9532481652623
"3-2",3,2,4,"Amax",33.97,0.27,"1000",2013-04-17,0.0125814814814815,79.4818957904033
"3-2",3,2,5,"Amax",38.5,0.33,"1000",2013-05-01,0.0116666666666667,85.7142857142857
"3-2",3,2,6,"Amax",39.64,0.37,"1000",2013-05-16,0.0107135135135135,93.3400605449041
"3-3",3,3,1,"Amax",38.4,0.38,"25",2013-03-07,0.0101052631578947,98.9583333333333
"3-3",3,3,2,"Amax",39.02,0.36,"25",2013-03-22,0.0108388888888889,92.2603792926704
"3-3",3,3,3,"Amax",16.105,0.19,"25",2013-04-08,0.00847631578947368,117.975783918038
"3-3",3,3,4,"Amax",19.56,0.25,"25",2013-04-17,0.007824,127.811860940695
"3-3",3,3,5,"Amax",23.31,0.33,"25",2013-05-01,0.00706363636363636,141.570141570142
"3-3",3,3,6,"Amax",22.75,0.34,"25",2013-05-16,0.00669117647058824,149.450549450549
"3-4",3,4,1,"Amax",32,0.31,"20",2013-03-07,0.0103225806451613,96.875
"3-4",3,4,2,"Amax",15.98,0.16,"20",2013-03-22,0.0099875,100.125156445557
"3-4",3,4,3,"Amax",15.905,0.18,"20",2013-04-08,0.00883611111111111,113.171958503615
"3-4",3,4,4,"Amax",20.33,0.24,"20",2013-04-17,0.00847083333333333,118.052139695032
"3-4",3,4,6,"Amax",19.74,0.31,"20",2013-05-16,0.00636774193548387,157.041540020263
"3-5",3,5,1,"Amax",35.5,0.31,"35",2013-03-07,0.0114516129032258,87.3239436619718
"3-5",3,5,2,"Amax",29.6,0.3,"35",2013-03-22,0.00986666666666667,101.351351351351
"3-5",3,5,3,"Amax",22.765,0.245,"35",2013-04-08,0.00929183673469388,107.621348561388
"3-5",3,5,4,"Amax",17.31,0.21,"35",2013-04-17,0.00824285714285714,121.317157712305
"3-5",3,5,5,"Amax",12.44,0.15,"35",2013-05-01,0.00829333333333333,120.578778135048
"3-5",3,5,6,"Amax",21.58,0.3,"35",2013-05-16,0.00719333333333333,139.017608897127
"3-6",3,6,1,"Amax",35.6,0.32,"10",2013-03-07,0.011125,89.8876404494382
"3-6",3,6,2,"Amax",15.73,0.14,"10",2013-03-22,0.0112357142857143,89.0019071837254
"3-6",3,6,3,"Amax",15.455,0.165,"10",2013-04-08,0.00936666666666667,106.761565836299
"3-6",3,6,4,"Amax",18.29,0.18,"10",2013-04-17,0.0101611111111111,98.4144341170038
"3-6",3,6,5,"Amax",15.01,0.19,"10",2013-05-01,0.0079,126.582278481013
"3-6",3,6,6,"Amax",25.88,0.3,"10",2013-05-16,0.00862666666666667,115.919629057187
"3-7",3,7,1,"Amax",10.1,0.13,"15",2013-03-07,0.00776923076923077,128.712871287129
"3-7",3,7,2,"Amax",9.64,0.09,"15",2013-03-22,0.0107111111111111,93.3609958506224
"3-7",3,7,3,"Amax",15.645,0.09,"15",2013-04-08,0.0173833333333333,57.5263662511985
"3-7",3,7,4,"Amax",14.25,0.08,"15",2013-04-17,0.0178125,56.140350877193
"3-7",3,7,5,"Amax",28.35,0.24,"15",2013-05-01,0.0118125,84.6560846560846
"3-7",3,7,6,"Amax",31.43,0.32,"15",2013-05-16,0.009821875,101.813553929367
"4-1",4,1,1,"Amax",34.74,0.24,"25",2013-03-07,0.014475,69.0846286701209
"4-1",4,1,2,"Amax",35.18,0.27,"25",2013-03-22,0.0130296296296296,76.7481523592951
"4-1",4,1,3,"Amax",16.115,0.155,"25",2013-04-08,0.0103967741935484,96.1836798014272
"4-1",4,1,4,"Amax",20.77,0.2,"25",2013-04-17,0.010385,96.2927298988926
