"ID","volume","Croot","Froot","leafmass","stemmass","frootSS_dw","fineroot","root","shoot","totalmass","rootshoot","frootleaf"
"5-6","1000",48.5,56.91,67.71,67.68,0.876774193548387,57.7867741935484,106.286774193548,135.39,241.676774193548,0.785041540686523,0.853445195592208
"5-7","35",27.42,7.9,12.31,26.09,0.372606060606061,8.27260606060606,35.6926060606061,38.4,74.0926060606061,0.929494949494949,0.672023238067105
"5-8","5",2.08,0.99,0.890000000000001,2.66999999999999,0.370285714285714,1.36028571428571,3.44028571428571,3.56,7.00028571428571,0.966372391653292,1.52841091492777
"6-1","35",20.37,6.21,13.39,24.5,0.622553191489362,6.83255319148936,27.2025531914894,37.89,65.0925531914894,0.717934895526243,0.510272829834904
"6-3","5",5.89,1.41,3.08,9.8,0.525569620253165,1.93556962025316,7.82556962025316,12.88,20.7055696202532,0.607575281075556,0.628431694887391
"6-4","20",4.59,3.47,4.11,5.92,0.425615763546798,3.8956157635468,8.4856157635468,10.03,18.5156157635468,0.846023505837168,0.947838385291192
"6-5","10",5.07,4.11,2.63,5.26,0.3905,4.5005,9.5705,7.89,17.4605,1.21299112801014,1.71121673003802
"6-6","15",8.91,3.35,4.64,10.22,0.476,3.826,12.736,14.86,27.596,0.857065948855989,0.824568965517241
"6-7","25",5.36,3.43,3.96,7.01,0.531384615384615,3.96138461538462,9.32138461538462,10.97,20.2913846153846,0.849716008695043,1.00034965034965
"6-8","1000",23.45,39.23,27.1,32.46,1.00273381294964,40.2327338129496,63.6827338129496,59.56,123.24273381295,1.06921984239338,1.48460272372508
"7-1","15",9.46,3.62,7.37,9.7,0.467772727272727,4.08777272727273,13.5477727272727,17.07,30.6177727272727,0.793659796559621,0.554650302207969
"7-2","1000",16.44,27.96,29.37,28.79,0.874249291784703,28.8342492917847,45.2742492917847,58.16,103.434249291785,0.778443075855996,0.981758573094474
"7-3","25",2.14,3.15,4,5.34,0.629010989010989,3.77901098901099,5.91901098901099,9.34,15.259010989011,0.633727086617879,0.944752747252747
"7-4","10",3.06,1.97,1.38,5.48,0.443636363636364,2.41363636363636,5.47363636363636,6.86,12.3336363636364,0.797906175457196,1.74901185770751
"7-5","20",5.39,4.6,5.04,7.55,0.658708414872798,5.2587084148728,10.6487084148728,12.59,23.2387084148728,0.845806863770675,1.04339452676048
"7-6","5",3.24,1.14,1.2,6.7,0.403964757709251,1.54396475770925,4.78396475770925,7.9,12.6839647577093,0.605565159203702,1.28663729809104
"7-8","35",14.56,4.16,10.61,14.64,0.763882618510158,4.92388261851016,19.4838826185102,25.25,44.7338826185102,0.771638915584561,0.464079417390213
