"","plot","pot","ID","campaign","mass","volume","Date","Photo","Cond","Ci","CTleaf","Area","Trmmol","resppermass"
"54",2,7,"2-7",6,0.36,35,2013-05-17,-0.225892747,0.00751177,446.3689752,12.71984561,33.43,0.044937109,-0.627479852777778
"55",2,8,"2-8",6,0.29,10,2013-05-17,-0.436675435,0.006465974,506.8383059,12.69699302,19.82,0.039096132,-1.50577736206897
"56",2,8,"2-8",6,0.29,10,2013-05-17,-0.445800071,0.006558095,507.5522302,12.69511776,19.82,0.039628733,-1.53724162413793
"57",2,8,"2-8",6,0.29,10,2013-05-17,-0.428364447,0.006569981,503.0681851,12.69232517,19.82,0.039683435,-1.47711878275862
"58",2,8,"2-8",6,0.29,10,2013-05-17,-0.434147043,0.006720463,502.1519847,12.69591825,19.82,0.040586697,-1.49705876896552
"59",2,8,"2-8",6,0.29,10,2013-05-17,-0.441407936,0.006711722,504.0034594,12.69476984,19.82,0.040529866,-1.52209633103448
"60",3,1,"3-1",6,0.16,5,2013-05-17,-0.281753527,-0.005287271,312.7870474,12.73620582,14.03,-0.034941507,-1.76095954375
"61",3,1,"3-1",6,0.16,5,2013-05-17,-0.280486511,-0.00536223,314.3644401,12.73257296,14.03,-0.035422937,-1.75304069375
"62",3,1,"3-1",6,0.16,5,2013-05-17,-0.284197868,-0.005370576,313.3919011,12.73262147,14.03,-0.035478465,-1.776236675
"63",3,1,"3-1",6,0.16,5,2013-05-17,-0.28944885,-0.005366029,311.7726458,12.73339936,14.03,-0.035452439,-1.8090553125
"64",3,1,"3-1",6,0.16,5,2013-05-17,-0.28944885,-0.005366029,311.7726458,12.73339936,14.03,-0.035452439,-1.8090553125
"65",3,2,"3-2",6,0.37,1000,2013-05-17,-0.359768855,0.008110742,471.5039242,12.5932515,39.64,0.04692268,-0.972348256756757
"66",3,2,"3-2",6,0.37,1000,2013-05-17,-0.354923034,0.008086848,470.7102919,12.595606,39.64,0.046799401,-0.959251443243243
"67",3,2,"3-2",6,0.37,1000,2013-05-17,-0.357715874,0.008109625,471.0801428,12.59244812,39.64,0.046892939,-0.966799659459459
"68",3,2,"3-2",6,0.37,1000,2013-05-17,-0.36121751,0.008128316,471.6298373,12.59006901,39.64,0.046973612,-0.976263540540541
"69",3,2,"3-2",6,0.37,1000,2013-05-17,-0.357463706,0.008132578,470.8361602,12.5893698,39.64,0.046986795,-0.966118124324324
"70",3,3,"3-3",6,0.34,25,2013-05-17,-0.400624485,0.005569881,514.0263923,12.57317778,22.75,0.033490375,-1.17830730882353
"71",3,3,"3-3",6,0.34,25,2013-05-17,-0.40496412,0.005598742,514.6647522,12.57869023,22.75,0.033688141,-1.19107094117647
"72",3,3,"3-3",6,0.34,25,2013-05-17,-0.403895743,0.005667468,512.9456295,12.5828128,22.75,0.034105275,-1.18792865588235
"73",3,3,"3-3",6,0.34,25,2013-05-17,-0.395612469,0.005668689,510.5493523,12.58592864,22.75,0.034127571,-1.16356608529412
"74",3,3,"3-3",6,0.34,25,2013-05-17,-0.391625948,0.005735436,508.1687001,12.56767628,22.75,0.034409496,-1.15184102352941
"75",3,4,"3-4",6,0.31,20,2013-05-17,-0.365953664,0.018080275,430.8184186,12.54541785,19.74,0.103263701,-1.18049569032258
"76",3,4,"3-4",6,0.31,20,2013-05-17,-0.357370866,0.018077134,430.0431159,12.54311123,19.74,0.103206786,-1.15280924516129
"77",3,4,"3-4",6,0.31,20,2013-05-17,-0.357312062,0.018068884,430.0473872,12.54176542,19.74,0.103141224,-1.15261955483871
"78",3,4,"3-4",6,0.31,20,2013-05-17,-0.35875758,0.018098893,430.1168306,12.54233425,19.74,0.103297662,-1.15728251612903
"79",3,4,"3-4",6,0.31,20,2013-05-17,-0.362046098,0.018058149,430.50409,12.54301412,19.74,0.103110211,-1.16789063870968
"80",3,5,"3-5",6,0.3,35,2013-05-17,-0.270896911,0.011114763,436.6880972,12.58148597,21.58,0.065493875,-0.902989703333333
"81",3,5,"3-5",6,0.3,35,2013-05-17,-0.258844323,0.011040033,435.2041467,12.57396367,21.58,0.065018138,-0.86281441
"82",3,5,"3-5",6,0.3,35,2013-05-17,-0.267526104,0.011102211,436.2503769,12.57412979,21.58,0.065375814,-0.89175368
"83",3,5,"3-5",6,0.3,35,2013-05-17,-0.257737318,0.01108195,434.9088669,12.57267103,21.58,0.065265968,-0.859124393333333
"84",3,5,"3-5",6,0.3,35,2013-05-17,-0.252678576,0.011084461,434.1664979,12.57138092,21.58,0.065268434,-0.84226192
"85",3,7,"3-7",6,0.32,15,2013-05-17,-0.348063828,0.023372932,423.6543621,12.60559375,31.43,0.12134299,-1.0876994625
"86",3,7,"3-7",6,0.32,15,2013-05-17,-0.35175555,0.02341014,423.9153104,12.60077388,31.43,0.121406874,-1.09923609375
"87",3,7,"3-7",6,0.32,15,2013-05-17,-0.345962426,0.023401749,423.5232316,12.59746764,31.43,0.121282986,-1.08113258125
"88",3,7,"3-7",6,0.32,15,2013-05-17,-0.352357687,0.023389914,424.0074897,12.59737687,31.43,0.121209078,-1.101117771875
"89",3,7,"3-7",6,0.32,15,2013-05-17,-0.353964184,0.0233596,424.1287955,12.59597957,31.43,0.121055447,-1.106138075
"90",4,2,"4-2",6,0.185,10,2013-05-17,-0.291015005,0.017877332,423.9417623,12.49639666,19.81,0.101284678,-1.57305408108108
"91",4,2,"4-2",6,0.185,10,2013-05-17,-0.296829781,0.01796005,424.3101276,12.48713983,19.81,0.101511946,-1.6044853027027
"92",4,2,"4-2",6,0.185,10,2013-05-17,-0.300196429,0.018025335,424.5413277,12.48667911,19.81,0.101849877,-1.6226834
"93",4,2,"4-2",6,0.185,10,2013-05-17,-0.296720734,0.018017087,424.2466969,12.48448918,19.81,0.101785305,-1.60389585945946
"94",4,2,"4-2",6,0.185,10,2013-05-17,-0.298287113,0.018069792,424.3386743,12.48335316,19.81,0.102031102,-1.61236277297297
"95",4,4,"4-4",6,0.125,35,2013-05-17,-0.47093898,0.008185716,489.8945185,12.82807522,13.08,0.05154419,-3.76751184
"96",4,4,"4-4",6,0.125,35,2013-05-17,-0.471258535,0.0081978,489.8273587,12.82724792,13.08,0.051609115,-3.77006828
"97",4,4,"4-4",6,0.125,35,2013-05-17,-0.470158228,0.008201073,489.5842412,12.82581299,13.08,0.051618618,-3.761265824
"98",4,4,"4-4",6,0.125,35,2013-05-17,-0.466073846,0.008075782,490.1435369,12.82581885,13.08,0.050844546,-3.728590768
"99",4,4,"4-4",6,0.125,35,2013-05-17,-0.46995899,0.008132502,490.2717635,12.82432518,13.08,0.051177155,-3.75967192
"100",4,5,"4-5",6,0.135,5,2013-05-17,-0.224007799,0.020676106,413.9867284,12.49876774,13.5,0.120152668,-1.65931702962963
"101",4,5,"4-5",6,0.135,5,2013-05-17,-0.226012595,0.020666797,414.1617576,12.4967852,13.5,0.120073707,-1.67416737037037
"102",4,5,"4-5",6,0.135,5,2013-05-17,-0.224187156,0.020684928,414.0280415,12.49549584,13.5,0.120148908,-1.6606456
"103",4,5,"4-5",6,0.135,5,2013-05-17,-0.221990377,0.020686714,413.8798915,12.49429991,13.5,0.120131082,-1.64437316296296
"104",4,5,"4-5",6,0.135,5,2013-05-17,-0.220898376,0.020710648,413.7955347,12.49198221,13.5,0.120218082,-1.63628426666667
"105",4,6,"4-6",6,0.22,15,2013-05-17,-0.34113598,0.006515746,482.1132362,12.7004884,22.46,0.040190281,-1.55061809090909
"106",4,6,"4-6",6,0.22,15,2013-05-17,-0.335927728,0.006501429,481.0071328,12.69887583,22.46,0.040096013,-1.52694421818182
"107",4,6,"4-6",6,0.22,15,2013-05-17,-0.330793104,0.006512097,479.6271295,12.69850057,22.46,0.04015636,-1.50360501818182
