"plant_id","M","totPARleaf","volume"
"24nd",0.81927146260473,78.7877019765899,"15"
"31d",0.905484510167744,17.2260267937763,"15"
"32d",0.872140482138234,40.8441768921439,"15"
"34nd",0.855355653500371,55.0542044418968,"15"
"esalroomot50",0.875529329038212,10.1998769689868,"15"
"Esal-ch7-tree37",0.825128564820899,22.4273581881814,"15"
"esalroomot41",0.897945021804399,8.75654355359907,"15"
"esal-ch2-tree48",0.816956440747924,16.2249303590275,"15"
"esalroomot392",0.886143671738584,10.0245336358395,"15"
"esal-ch10-tree1S",0.868160779885727,9.57556202817996,"15"
"esalroomot591",0.903627362536143,16.5144028517766,"15"
"esalroomot131",0.886055605706171,7.99317151885702,"15"
"esalroomot151",0.897628189996574,8.92435424101491,"15"
"esal-ref",0.821097159776726,15.5790280843823,"15"
"esalroomot588_fix",0.87160928373375,14.7287299689515,"15"
"Esal-ch12-tree46_fix",0.871512204421679,5.25157436913905,"15"
"esalroomot360",0.885455906929718,16.2685822344829,"15"
"Esal-ch1-tree54",0.809374549921018,12.4516721208952,"15"
"esalroomot251",0.872329643319028,10.5685668776875,"15"
"esalroomot460",0.866945775182683,11.4818253961586,"15"
"esalroomot259",0.882163440896534,11.9126406122117,"15"
"esalroomot449",0.823959175020076,13.655638597921,"15"
"Ambtr1",0.812875888912333,34.5663647395618,"15"
"Eletr5",0.857317581610229,47.0497799714074,"15"
"Eletr4",0.876803212409823,54.0584783275011,"15"
"Ambtr2",0.841461820978685,40.1773529784835,"15"
"Eletr8",0.818621766905134,38.8082595070983,"15"
"Eletr1",0.806741011690271,67.5239699378583,"15"
"Eletr2",0.806665230609704,55.8220726700182,"15"
"Eletr3",0.810090936833913,48.0694862907612,"15"
"Ambtr3",0.818248776134461,29.7890998193905,"15"
"Eletr6",0.827657460306951,24.6250732946414,"15"
"Eletr7",0.841536426313826,67.122145748471,"15"
"Ambtr4",0.833466006715658,32.4976420119938,"15"
"euchae3",0.876526583313037,2.5057914201716,"20"
"euchae1",0.8941504664991,0.58212289833256,"20"
"euchae2",0.866381379777637,5.53864249342375,"20"
"euchaeR90",0.898679443846324,3.07034993698251,"20"
"euchaeR50",0.893973384771612,1.46614593440656,"20"
"euchaeR70",0.883308418897478,3.14540420165441,"20"
"euchaeR91",0.8810234762158,2.10233546122769,"20"
"euchaeR71",0.870856001017411,1.72290735559345,"20"
"10nd",0.795574439303706,75.5158170343276,"20"
"11nd",0.747740819440958,78.8790160467403,"20"
"12nd",0.795647334496812,59.1300736409169,"20"
"7d",0.838165628342132,44.9520826384261,"20"
"33d",0.814659930731969,38.0004556889878,"20"
"8d",0.770399181679792,54.1440361069408,"20"
"35nd",0.815276966654121,57.1011360524219,"20"
"36nd",0.843010350755827,32.268785357824,"20"
"46nd",0.791988524382073,53.6518588570418,"20"
"9d",0.843543998336202,38.8780442654048,"20"
"44d",0.870314911049249,29.7365910896522,"20"
"45d",0.873834223753947,26.4923532516618,"20"
"21d",0.816495895758683,42.1958065129425,"20"
"47nd",0.82017689145877,63.618871312446,"20"
