Date,Unit,OPENversion,Comment,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,PhotRange,CondRange,CO2RRange,Nlogs
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",21,"\"09:17:43\"",1460,0,23.2,0.691,301,4.26,0.757,25.44,6,1.42,1,2.84,24.11,25.44,23.45,399.22,369.52,19.673,24.662,66.29,83.1,499.9,1801,141,101.6,0.65,0.0777,1,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",22,"\"09:17:44\"",1460.5,0,23.2,0.691,301,4.26,0.758,25.44,6,1.42,1,2.84,24.11,25.44,23.45,399.2,369.51,19.674,24.663,66.3,83.11,499.9,1801,141,101.6,0.65,0.0777,1,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",23,"\"09:17:45\"",1461.5,0,23.2,0.69,301,4.26,0.757,25.44,6,1.42,1,2.84,24.11,25.44,23.45,399.22,369.53,19.679,24.663,66.31,83.11,499.9,1801,141,101.6,0.65,0.0777,1,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",24,"\"09:17:45\"",1462,0,23.2,0.69,301,4.26,0.757,25.44,6,1.42,1,2.84,24.11,25.44,23.45,399.24,369.54,19.68,24.664,66.32,83.11,499.9,1801,141,101.6,0.65,0.0777,1,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",25,"\"09:17:46\"",1462.5,0,23.2,0.69,301,4.26,0.757,25.44,6,1.42,1,2.84,24.11,25.44,23.45,399.25,369.54,19.681,24.666,66.32,83.12,499.9,1801,141,101.6,0.65,0.0777,1,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",26,"\"09:22:48\"",1764,0,31.2,0.656,1450,3.98,0.737,25.56,6,1.42,1,2.84,24.14,25.56,23.46,1598.54,1553.67,20.44,25.098,68.76,84.42,500,1800,141,101.6,-11.1,0.0709,0.7,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",27,"\"09:22:48\"",1764.5,0,31.3,0.657,1440,3.98,0.736,25.56,6,1.42,1,2.84,24.14,25.56,23.46,1598.58,1553.62,20.443,25.099,68.76,84.43,500,1800,141,101.6,-11.1,0.0709,0.7,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",28,"\"09:22:49\"",1765,0,31.3,0.657,1440,3.98,0.736,25.56,6,1.42,1,2.84,24.14,25.56,23.45,1598.57,1553.57,20.445,25.1,68.77,84.43,500,1800,141,101.6,-11.1,0.0709,0.7,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",29,"\"09:22:49\"",1765.5,0,31.4,0.657,1440,3.98,0.736,25.56,6,1.42,1,2.84,24.14,25.56,23.46,1598.65,1553.53,20.446,25.103,68.78,84.44,500,1800,141,101.6,-11.1,0.0709,0.7,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:17:29 plot3-6",30,"\"09:22:50\"",1766,0,31.4,0.658,1440,3.98,0.735,25.55,6,1.42,1,2.84,24.14,25.55,23.46,1598.64,1553.51,20.448,25.104,68.78,84.44,499.9,1800,141,101.6,-11.1,0.0709,0.7,-0.22,2.74,1,0,0.16,111115,8.2,0.0349999999999999,1199.45,10
