Date,plot,pot,Obs,HHMMSS,bay,code,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
2013/05/17,1,8,2,19:34:25,1,,577,1,-0.610967614,0.018331825,451.8420711,0.107866532,0.58865603,12.52538542,6.66,4,1,8,12.99669933,12.52536869,12.96518707,401.1820984,402.4414978,8.363340378,8.600635529,56.19462585,57.78905106,300.1378174,0.067821227,0.071390763,100.9756546,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.450657383,0.000107867,285.6753687,286.1466993,0.013564245,1.67E-05,1.457110832,14.43031826,5.829682731,12.52536869,1.457109232,0.018289914,0.868454802,0.58865443,0.011434955,45.62504891,1.122752185,59.22395513,402.5445986,-0.00089888
2013/05/17,1,8,3,19:34:28,1,,579.5,1,-0.615158388,0.018398401,452.0224308,0.108244832,0.588592048,12.52531361,6.66,4,1,8,12.99717331,12.52531338,12.96603012,401.1818542,402.4500732,8.363037109,8.601138115,56.19126129,57.7910614,300.1708984,0.106738113,0.11235591,100.9763947,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.450707055,0.000108245,285.6753134,286.1471733,0.021347623,2.29E-07,1.457103965,14.43014449,5.829006372,12.52531338,1.457103943,0.018356186,0.868511917,0.588592026,0.011476401,45.64359536,1.123176416,59.22852672,402.5538812,-0.000905094
2013/05/17,1,8,4,19:34:31,1,,583,1,-0.615873885,0.018319978,452.2833031,0.10790922,0.58927349,12.53087237,6.66,4,1,8,12.99792194,12.53096581,12.96681023,401.1548767,402.4251099,8.362248421,8.599634171,56.18334961,57.77826691,300.1423035,0.177894875,0.187257767,100.9766388,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.450664119,0.000107909,285.6809658,286.1479219,0.035578975,-9.34E-05,1.457635643,14.43537496,5.83574079,12.53096581,1.457644581,0.018278121,0.868362153,0.589282428,0.011427579,45.67004773,1.12389434,59.19573636,402.5290386,-0.000905701
2013/05/17,1,8,5,19:34:36,1,,587.5,1,-0.612856458,0.018457498,451.6139402,0.108832897,0.58989441,12.53728634,6.66,4,1,8,12.99952793,12.53782654,12.96841717,401.1569519,402.4196777,8.360191345,8.599611282,56.163311,57.77172089,300.1395264,0.163437381,0.172039345,100.9760666,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.45065995,0.000108833,285.6878265,286.1495279,0.032687475,-0.000540199,1.458249332,14.44153433,5.841923044,12.53782654,1.458301028,0.018415012,0.868354921,0.589946107,0.011513192,45.6021993,1.122246165,59.17050435,402.5230973,-0.000900893
2013/05/17,2,1,31,19:42:19,77,,3291,1,-0.436214465,-0.004617528,248.4448033,-0.029701765,0.641594027,12.86826148,37.08,4,1,8,13.02762222,12.85394764,12.98086929,400.0966797,402.8708801,8.58700943,8.40470314,57.57843781,56.35602188,599.0385742,0.124661982,0.131223142,100.9712219,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.161553014,-2.97E-05,286.0039476,286.1776222,0.024932397,0.014313838,1.490227173,14.75892977,6.35422663,12.85394764,1.488831557,-0.004620195,0.848633146,0.640198411,-0.002887382,25.08577537,0.61668593,56.41692676,402.9444913,-0.000610751
2013/05/17,2,1,32,19:42:23,77,,3294.5,1,-0.45184755,-0.004657528,244.4270276,-0.029958249,0.641570631,12.86525562,37.08,4,1,8,13.02563,12.85079384,12.98063374,400.0306396,402.9021301,8.585964203,8.402091026,57.57852173,56.34544373,599.064209,0.169262648,0.178171217,100.9705048,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.161559927,-3.00E-05,286.0007938,286.17563,0.033852531,0.014461783,1.489934003,14.75613108,6.354040051,12.85079384,1.488524212,-0.004660241,0.848363372,0.64016084,-0.002912407,24.67992036,0.60666601,56.40984187,402.9783794,-0.000632507
2013/05/17,2,1,33,19:42:26,77,,3298,1,-0.43731075,-0.004612644,247.94953,-0.029686116,0.641938987,12.86836676,37.08,4,1,8,13.02837276,12.85411358,12.98192787,400.1343079,402.9151917,8.583560944,8.40135479,57.55272293,56.33102798,599.0540161,0.033166666,0.034912281,100.9716263,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.161557178,-2.97E-05,286.0041136,286.1783728,0.006633333,0.014253183,1.490237443,14.75897237,6.357617584,12.85411358,1.488847729,-0.004615305,0.848298456,0.640549273,-0.002884327,25.03586728,0.615388884,56.39389394,402.9889878,-0.000611968
2013/05/17,2,1,34,19:42:29,77,,3301,1,-0.432968261,-0.00457365,248.0882616,-0.029426302,0.641746001,12.86558949,37.08,4,1,8,13.02176762,12.85148239,12.98207188,400.0747681,402.8280945,8.58124733,8.400636673,57.5616951,56.35018158,599.0571899,0.133811802,0.140854537,100.9709854,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.161558034,-2.94E-05,286.0014824,286.1717676,0.026762362,0.014107101,1.489966564,14.75638331,6.355746639,12.85148239,1.488591308,-0.004576266,0.848220563,0.640370745,-0.002859931,25.04971625,0.615866334,56.39936351,402.9011579,-0.000606083
2013/05/17,2,1,35,19:42:34,77,,3305.5,1,-0.435535948,-0.004609701,248.4503439,-0.0297105,0.642869278,12.87206232,37.08,4,1,8,13.02990246,12.85785103,12.98284054,400.134613,402.904541,8.578170776,8.395815849,57.51011276,56.28756714,599.0603027,0.093783356,0.098719321,100.9703751,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.161558873,-2.97E-05,286.007851,286.1799025,0.018756671,0.014211287,1.490597953,14.76272572,6.36690987,12.85785103,1.489212028,-0.004612359,0.847728675,0.641483353,-0.002882486,25.08612441,0.61664816,56.34131764,402.9780377,-0.000608933
2013/05/17,2,2,6,19:39:19,1,,871,1,-0.239797264,0.013367751,427.7266634,0.076062963,0.568859907,12.43806259,19.98,4,1,8,12.99750996,12.42689228,12.98367786,401.3775635,402.7698669,8.212567329,8.714475632,55.17683029,58.54894638,300.1532898,0.095616698,0.100649156,100.9723511,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.150226872,7.61E-05,285.5768923,286.14751,0.019123339,0.011170305,1.448781,14.34829421,5.633818575,12.42689228,1.447718479,0.013345451,0.879921093,0.567797386,0.008342908,43.18856682,1.061962919,60.3434789,402.8103327,-0.000359231
2013/05/17,2,2,7,19:39:21,1,,873,1,-0.240970495,0.013417553,427.7681356,0.076223257,0.567948434,12.42940313,19.98,4,1,8,12.99943447,12.41776943,12.98113728,401.3720703,402.7718811,8.212332726,8.715344429,55.16831207,58.54741287,300.1257629,0.075604625,0.079583816,100.9723511,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.150213095,7.62E-05,285.5677694,286.1494345,0.015120925,0.011633698,1.447957252,14.34013605,5.624791622,12.41776943,1.446851221,0.013395087,0.880008817,0.566842404,0.008373945,43.19275437,1.062060575,60.38488742,402.8125449,-0.000361234
2013/05/17,2,2,8,19:39:26,1,,878,1,-0.232085223,0.013614965,426.3328319,0.07697193,0.565226704,12.40683157,19.98,4,1,8,13.00157356,12.39422417,12.97523594,401.4357605,402.774292,8.213190079,8.721094131,55.16609955,58.57757187,300.1525574,0.001111806,0.001170322,100.9718857,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.150226505,7.70E-05,285.5442242,286.1515736,0.000222361,0.012607404,1.445812023,14.31895635,5.597862215,12.39422417,1.444615018,0.013591834,0.88058532,0.564029698,0.008496971,43.04762997,1.058490674,60.51751499,402.8134564,-0.000348678
2013/05/17,2,2,9,19:39:43,1,,894.5,1,-0.23979737,0.013604364,427.2991148,0.076579151,0.562799736,12.38250256,19.98,4,1,8,12.99760532,12.36875153,12.9601469,401.4082642,402.7991943,8.216732025,8.72205162,55.20554352,58.60061646,300.1479187,0.070046015,0.073732652,100.9743118,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.150224184,7.66E-05,285.5187515,286.1476053,0.014009204,0.013751034,1.443502896,14.29574384,5.573692221,12.36875153,1.442199187,0.013581268,0.88070316,0.561496027,0.008490365,43.14623406,1.060824155,60.62454811,402.8396601,-0.000360878
2013/05/17,2,2,10,19:39:44,1,,895.5,1,-0.236861688,0.013613293,426.9402454,0.076592104,0.562530309,12.38005522,19.98,4,1,8,12.99768353,12.36620426,12.95908546,401.4296265,402.8009338,8.216980934,8.722369194,55.20726013,58.60280228,300.1578064,0.048921,0.05149579,100.9749146,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.150229132,7.66E-05,285.5162043,286.1476835,0.0097842,0.013850954,1.443270793,14.29335988,5.570990687,12.36620426,1.4419578,0.013590167,0.880740484,0.561217316,0.008495929,43.1102548,1.059928639,60.63715398,402.8409042,-0.000356533
2013/05/17,2,3,36,19:47:29,77,,3601.5,1,-0.288568557,0.00274322,568.1430223,0.015854775,0.577050892,12.46582011,41.62,4,1,8,12.94045925,12.44579983,12.97996807,400.3591614,404.2817078,8.441146851,8.659649849,56.92379379,58.39729309,299.3832703,0.189849064,0.199841127,100.9709854,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.071932549,1.59E-05,285.5957998,286.0904593,0.037969814,0.020020287,1.451424271,14.37466679,5.715016941,12.44579983,1.44951737,0.002742279,0.874373379,0.575143991,0.001714009,57.36596081,1.405314689,59.7929967,404.3304037,-0.00042674
2013/05/17,2,3,37,19:47:33,77,,3604.5,1,-0.290100999,0.002791835,566.0756281,0.016124702,0.576660225,12.46414902,41.62,4,1,8,12.94007111,12.44425869,12.9790554,400.3110962,404.2539063,8.439674377,8.661923409,56.91543198,58.41423416,299.3475342,0.051464021,0.054172654,100.971199,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.071923963,1.61E-05,285.5942587,286.0900711,0.010292804,0.019890328,1.451265017,14.37305916,5.71113575,12.44425869,1.44937067,0.002790861,0.874604793,0.574765877,0.001744376,57.15733491,1.400297237,59.81603861,404.3028608,-0.0004292
