Volume,plot,pot,CO2 R,Ps,Ci,Temp,Cond
35,3,5,1600,27.21261853,1374.877889,25.04359055,0.312107957
35,3,5,1800,27.52561997,1561.178887,25.09107971,0.300006469
1000,1,5,50,-0.10079611,49.72816739,25.0995636,0.321995367
1000,1,5,100,3.470991806,74.5382409,25.13850594,0.330020765
1000,1,5,150,7.271138245,100.803315,25.03701973,0.343165978
1000,1,5,230,12.91535758,145.9593908,25.04572105,0.357471472
1000,1,5,330,19.49161248,206.192792,24.96847534,0.368656209
1000,1,5,400,23.53467368,253.5746773,24.81259727,0.377752284
1000,1,5,650,31.95486429,451.1941219,24.84745789,0.385660243
1000,1,5,1200,36.05358363,964.4437183,25.12315369,0.382125835
1000,1,5,1500,37.64656598,1239.284522,25.11415672,0.364877316
1000,1,5,1600,38.05874643,1325.235029,25.10144043,0.344640687
1000,1,5,1800,39.00361544,1504.287768,25.20564651,0.327484916
5,4,5,50,-0.105718686,50.40801149,25.16853714,0.247017365
5,4,5,100,2.174139222,80.55670255,24.98923492,0.260768722
5,4,5,150,4.386299142,113.6377538,24.92804527,0.275013585
5,4,5,230,7.686043244,168.7918115,24.94411469,0.291353484
5,4,5,330,11.37231554,245.6110952,24.95870018,0.30725202
5,4,5,400,13.60314657,299.3720834,24.90358353,0.315263844
5,4,5,650,17.92698947,513.9954216,25.0104351,0.312590024
5,4,5,1200,19.59067787,1020.753837,25.01479912,0.261759104
5,4,5,1500,20.60918782,1284.688038,25.11787987,0.226596383
5,4,5,1600,20.96644205,1365.185784,25.13002586,0.208768258
5,4,5,1800,21.28341958,1546.08914,25.14221764,0.193686978
10,6,5,50,-0.215759469,50.18991082,25.07256317,0.303446609
10,6,5,100,2.251869357,81.86680189,25.01302719,0.307499717
10,6,5,150,4.651454712,114.8120926,24.93411255,0.314859642
10,6,5,230,8.602637106,168.1548252,24.85324478,0.327365274
10,6,5,330,12.76514744,239.9519469,24.87605095,0.335072637
10,6,5,400,15.39638831,293.1435885,24.8569622,0.342635902
10,6,5,650,20.05041273,509.3216842,24.89208412,0.343182393
10,6,5,900,21.03210793,739.9187088,24.85201454,0.326132324
10,6,5,1200,21.83300512,1010.393859,24.99321747,0.284750249
10,6,5,1500,22.64237929,1276.608579,25.10488129,0.243266311
10,6,5,1600,23.27483329,1342.260185,25.19333839,0.208786774
10,6,5,1800,23.0480663,1491.074671,25.10490036,0.164790345
25,6,7,50,-0.227030266,50.56323808,24.80290985,0.314588562
25,6,7,100,2.520870418,80.64291486,24.76020432,0.327553739
25,6,7,150,5.257306299,113.308009,24.83792877,0.340176912
25,6,7,230,9.625697935,166.1983159,24.91887474,0.358827372
25,6,7,330,14.50604052,235.3722894,25.01846886,0.371324873
25,6,7,400,17.71781588,287.0413359,25.10542488,0.374222861
25,6,7,650,23.68174958,501.3770316,24.97474098,0.401001782
25,6,7,900,25.2131962,731.2795777,24.96471214,0.383267521
25,6,7,1200,26.00011077,1015.971342,24.85738564,0.367774428
25,6,7,1500,27.00558176,1288.504092,25.15017319,0.329636308
25,6,7,1600,28.04475011,1369.003158,24.99635506,0.305625523
25,6,7,1800,27.70986978,1551.08106,24.94054794,0.277122577
20,3,4,50,0.007220677,49.08848179,24.88216972,0.379422423
20,3,4,100,2.520375147,82.42533815,24.88281631,0.384401145
20,3,4,150,5.312329651,114.8817226,24.89801025,0.391511655
20,3,4,230,9.35461946,171.319969,24.8864193,0.398900504
20,3,4,330,14.2385901,242.7422498,24.90374565,0.407547887
20,3,4,400,17.04180457,296.4917174,24.91278648,0.410903477
20,3,4,650,21.25513725,517.6336691,24.89332581,0.413675063
20,3,4,900,22.23178185,753.7676355,24.90719414,0.406476965
20,3,4,1200,22.55908775,1040.820932,24.99304771,0.388237155
20,3,4,1500,23.30961963,1319.830068,25.09698677,0.359159438
20,3,4,1600,23.6341577,1405.227387,25.18569946,0.327453471
20,3,4,1800,23.92715276,1585.827706,25.1316452,0.295920085
35,4,4,50,-0.196137597,51.20985749,25.0212574,0.185042833
35,4,4,100,2.193553202,74.58249408,24.90286255,0.189693942
35,4,4,150,4.541266017,100.9988795,24.8406601,0.195724727
35,4,4,230,8.289903399,145.8452276,24.88634109,0.203332507
35,4,4,330,12.91507911,204.6626707,24.89730644,0.209867618
35,4,4,400,15.89952806,246.989848,24.89692497,0.214524021
35,4,4,650,21.6122302,440.3451299,24.8855114,0.216388127
35,4,4,900,22.53727842,667.4634023,25.00495148,0.20613846
35,4,4,1200,22.94547944,939.9346553,25.21000099,0.188862712
35,4,4,1500,23.73654005,1204.926803,25.08232307,0.171560084
35,4,4,1600,24.13540779,1278.2074,25.0989418,0.157414552
35,4,4,1800,24.48007143,1446.816464,25.18955612,0.144505527
15,4,6,50,-0.22542064,50.11362366,24.86878967,0.516390097
15,4,6,100,2.848692634,83.68810505,24.8949585,0.527872254
15,4,6,150,6.246185636,116.3680298,24.93647575,0.536905093
15,4,6,230,11.42331179,172.0264702,24.97210312,0.547633583
15,4,6,330,16.98619062,246.8215223,24.98612213,0.556869948
15,4,6,400,19.91504907,301.3624314,24.99087334,0.562577365
15,4,6,650,23.78876721,528.4894342,25.02737617,0.567949491
15,4,6,900,24.90187426,765.6125925,25.07281685,0.560740312
15,4,6,1200,25.72516518,1052.501656,25.09819984,0.539974173
15,4,6,1500,26.20778632,1337.321325,25.09088516,0.509572189
15,4,6,1600,26.53406669,1427.107471,25.12161827,0.479659951
15,4,6,1800,27.03061467,1613.868344,25.1340332,0.448844124
